!SIL	sil
0	l iŋ_2
1233	y ii_1 ər_4 s an_1 s an_1
1233	y ii_4 q i an_1 ər_4 b ai_3 s an_1 sh iii_2 s an_1
1233	y ii_4 ər_4 s an_1 s an_1
1234567	y ii_1 b ai_3 ər_4 sh iii_2 s an_1 w an_4 s iii_4 q i an_1 w uu_3 b ai_3 l i əu_4 sh iii_2 q ii_1
1234567	y ii_4 b ai_3 ər_4 sh iii_2 s an_1 w an_4 s iii_4 q i an_1 w uu_3 b ai_3 l i əu_4 sh iii_2 q ii_1
12345678	y ii_1 q i an_1 ər_4 b ai_3 s an_1 sh iii_2 s iii_4 w an_4 w uu_3 q i an_1 l i əu_4 b ai_3 q ii_1 sh iii_2 b a_1
12345678	y ii_4 q i an_1 ər_4 b ai_3 s an_1 sh iii_2 s iii_4 w an_4 w uu_3 q i an_1 l i əu_4 b ai_3 q ii_1 sh iii_2 b a_1
123木头人	y au_1 ər_4 s an_1 m uu_4 t əu_2 ʒ ən_2
1280	y au_1 ər_4 b a_1 l iŋ_2
1280	y ii_1 q i an_1 ər_4 b ai_3 b a_1 sh iii_2
1280	y ii_1 ər_4 b a_1 l iŋ_2
1280	y ii_4 q i an_1 ər_4 b ai_3 b a_1 sh iii_2
1280	y ii_4 ər_4 b a_1 l iŋ_2
128g	y ii_4 b ai_3 ər_4 sh iii_2 b a_1 j ii_4
128g	y ii_4 ər_4 b a_1 j ii_4
129师	y au_1 ər_4 j i əu_3 sh iii_1
12v	y ii_1 ər_4 w ei_1
12v	y ii_4 ər_4 w ei_1
12新作	sh iii_2 ər_4 x in_1 z uɔ_4
12月25日	y au_1 ər_4 yue_4 ər_4 w uu_3 ʒ iii_4
12猴子	y ii_1 ər_4 h əu_2 z iii_3
1300	y au_1 s an_1 l iŋ_2 l iŋ_2
1300	y ii_1 q i an_1 s an_1 b ai_3
1300	y ii_1 s an_1 l iŋ_2 l iŋ_2
1300	y ii_4 q i an_1 s an_1 b ai_3
1300	y ii_4 s an_1 l iŋ_2 l iŋ_2
1302	y au_1 s an_1 l iŋ_2 ər_4
1302	y ii_1 q i an_1 s an_1 b ai_3 l iŋ_2 ər_4
1302	y ii_1 s an_1 l iŋ_2 ər_4
1302	y ii_4 q i an_1 s an_1 b ai_3 l iŋ_2 ər_4
1302	y ii_4 s an_1 l iŋ_2 ər_4
1303大厦	y ii_1 s an_1 l iŋ_2 s an_1 d a_4 sh a_4
1320	y au_1 s an_1 ər_4 l iŋ_2
1320	y ii_1 q i an_1 s an_1 b ai_3 ər_4 sh iii_2
1320	y ii_1 s an_1 ər_4 l iŋ_2
1320	y ii_4 q i an_1 s an_1 b ai_3 ər_4 sh iii_2
1320	y ii_4 s an_1 ər_4 l iŋ_2
13c	sh iii_2 s an_1 s ei_1
13c	y au_1 s an_1 s ei_1
13c	y ii_1 s an_1 s ei_1
13c	y ii_4 s an_1 s ei_1
13骇人游戏	y au_1 s an_1 h ai_4 ʒ ən_2 y əu_2 x ii_4
1400	y au_1 s iii_4 l iŋ_2 l iŋ_2
1400	y ii_1 q i an_1 s iii_4 b ai_3
1400	y ii_1 s iii_4 l iŋ_2 l iŋ_2
1400	y ii_4 s iii_4 l iŋ_2 l iŋ_2
1408幻影凶间	y ii_1 s iii_4 l iŋ_2 b a_1 h u an_4 y iŋ_3 x i uŋ_1 j i an_1
1430	y au_1 s iii_4 s an_1 l iŋ_2
1430	y ii_1 q i an_1 s iii_4 b ai_3 s an_1 sh iii_2
1430	y ii_1 s iii_4 s an_1 l iŋ_2
1430	y ii_4 q i an_1 s iii_4 b ai_3 s an_1 sh iii_2
1430	y ii_4 s iii_4 s an_1 l iŋ_2
1433端口	y au_1 s iii_1 s an_1 s an_1 d u an_1 k əu_3
1492征服天堂	y au_1 s iii_1 j i əu_3 ər_4 zh əŋ_1 f uu_2 t i an_1 t aŋ_2
14k	y au_1 s iii_4 k ei_4
14k	y ii_1 s iii_4 k ei_4
14k	y ii_4 s iii_4 k ei_4
1500	y au_1 w uu_3 l iŋ_2 l iŋ_2
1500	y ii_1 q i an_1 w uu_3 b ai_3
1500	y ii_1 w uu_3 l iŋ_2 l iŋ_2
1500	y ii_4 q i an_1 w uu_3 b ai_3
1500	y ii_4 w uu_3 l iŋ_2 l iŋ_2
1520	y au_1 w uu_3 ər_4 l iŋ_2
1520	y ii_1 q i an_1 w uu_3 b ai_3 ər_4 sh iii_2
1520	y ii_1 w uu_3 ər_4 l iŋ_2
1520	y ii_4 q i an_1 w uu_3 b ai_3 ər_4 sh iii_2
1520	y ii_4 w uu_3 ər_4 l iŋ_2
1573	y au_1 w uu_3 q ii_1 s an_1
1573	y ii_1 q i an_1 w uu_3 b ai_3 q ii_1 sh iii_2 s an_1
1573	y ii_1 w uu_3 q ii_1 s an_1
1573	y ii_4 q i an_1 w uu_3 b ai_3 q ii_1 sh iii_2 s an_1
1573	y ii_4 w uu_3 q ii_1 s an_1
1586	y au_1 w uu_3 b a_1 l i əu_4
1586	y ii_1 q i an_1 w uu_3 b ai_3 b a_1 sh iii_2 l i əu_4
1586	y ii_1 w uu_3 b a_1 l i əu_4
1586	y ii_4 q i an_1 w uu_3 b ai_3 b a_1 sh iii_2 l i əu_4
1586	y ii_4 w uu_3 b a_1 l i əu_4
15美少女漂流记	sh iii_2 w uu_3 m ei_2 sh au_2 n yu_3 p i au_1 l i əu_2 j ii_4
1600	y au_1 l i əu_4 l iŋ_2 l iŋ_2
1600	y ii_1 l i əu_4 l iŋ_2 l iŋ_2
1600	y ii_1 q i an_1 l i əu_4 b ai_3
1600	y ii_4 l i əu_4 l iŋ_2 l iŋ_2
1600	y ii_4 q i an_1 l i əu_4 b ai_3
1609	y au_1 l i əu_4 l iŋ_2 j i əu_3
1609	y ii_1 l i əu_4 l iŋ_2 j i əu_3
1609	y ii_1 q i an_1 l i əu_4 b ai_3 l iŋ_2 j i əu_3
1609	y ii_4 l i əu_4 l iŋ_2 j i əu_3
1609	y ii_4 q i an_1 l i əu_4 b ai_3 l iŋ_2 j i əu_3
1630	y au_1 l i əu_4 s an_1 l iŋ_2
1630	y ii_1 l i əu_4 s an_1 l iŋ_2
1630	y ii_1 q i an_1 l i əu_4 b ai_3 s an_1 sh iii_2
1630	y ii_4 l i əu_4 s an_1 l iŋ_2
1630	y ii_4 q i an_1 l i əu_4 b ai_3 s an_1 sh iii_2
163企业邮箱	y au_1 l i əu_4 s an_1 q ii_3 y ie_4 y əu_2 x i aŋ_1
1650	y au_1 l i əu_4 w uu_3 l iŋ_2
1650	y ii_1 l i əu_4 w uu_3 l iŋ_2
1650	y ii_1 q i an_1 l i əu_4 b ai_3 w uu_3 sh iii_2
1650	y ii_4 l i əu_4 w uu_3 l iŋ_2
1650	y ii_4 q i an_1 l i əu_4 b ai_3 w uu_3 sh iii_2
1688	y ii_1 l i əu_4 b a_1 b a_1
1688	y ii_1 q i an_1 l i əu_4 b ai_3 b a_1 sh iii_2 b a_1
1688	y ii_4 l i əu_4 b a_1 b a_1
1688	y ii_4 q i an_1 l i əu_4 b ai_3 b a_1 sh iii_2 b a_1
1699	y au_1 l i əu_4 j i əu_3 j i əu_3
1699	y ii_1 l i əu_4 j i əu_3 j i əu_3
1699	y ii_1 q i an_1 l i əu_4 b ai_3 j i əu_3 sh iii_2 j i əu_3
1699	y ii_4 l i əu_4 j i əu_3 j i əu_3
1699	y ii_4 q i an_1 l i əu_4 b ai_3 j i əu_3 sh iii_2 j i əu_3
16g	sh iii_2 l i əu_4 j ii_4
16g	y au_1 l i əu_4 j ii_4
16g	y ii_1 l i əu_4 j ii_4
16g	y ii_4 l i əu_4 j ii_4
16gb	sh iii_2 l i əu_4 j ii_4 b ii_1
16gb	y au_1 l i əu_4 j ii_4 b ii_1
16gb	y ii_1 l i əu_4 j ii_4 b ii_1
16gb	y ii_4 l i əu_4 j ii_4 b ii_1
16t	sh iii_2 l i əu_4 t ii_4
16t	y au_1 l i əu_4 t ii_4
16t	y ii_1 l i əu_4 t ii_4
16t	y ii_4 l i əu_4 t ii_4
16进制	sh iii_2 l i əu_4 j in_4 zh iii_4
1700	y au_1 q ii_1 l iŋ_2 l iŋ_2
1700	y ii_1 q i an_1 q ii_1 b ai_3
1700	y ii_1 q ii_1 l iŋ_2 l iŋ_2
1700	y ii_4 q i an_1 q ii_1 b ai_3
1700	y ii_4 q ii_1 l iŋ_2 l iŋ_2
1739	y au_1 q ii_1 s an_1 j i əu_3
1739	y ii_1 q i an_1 q ii_1 b ai_3 s an_1 sh iii_2 j i əu_3
1739	y ii_1 q ii_1 s an_1 j i əu_3
1739	y ii_4 q i an_1 q ii_1 b ai_3 s an_1 sh iii_2 j i əu_3
1739	y ii_4 q ii_1 s an_1 j i əu_3
1787年宪法	y au_1 q ii_1 b a_1 q ii_1 n i an_2 x i an_4 f a_3
17岁的单车	sh iii_2 q ii_1 s u ei_4 d ə_0 d an_1 ch ə_1
17岁的天空	sh iii_2 q ii_1 s u ei_4 d ə_0 t i an_1 k uŋ_1
1800	y au_1 b a_1 l iŋ_2 l iŋ_2
1800	y ii_1 b a_1 l iŋ_2 l iŋ_2
1800	y ii_1 q i an_1 b a_1 b ai_3
1800	y ii_4 b a_1 l iŋ_2 l iŋ_2
1800	y ii_4 q i an_1 b a_1 b ai_3
1807	y au_1 b a_1 l iŋ_2 q ii_1
1807	y ii_1 b a_1 l iŋ_2 q ii_1
1807	y ii_1 q i an_1 b a_1 b ai_3 l iŋ_2 q ii_1
1807	y ii_4 b a_1 l iŋ_2 q ii_1
1807	y ii_4 q i an_1 b a_1 b ai_3 l iŋ_2 q ii_1
180度	y ii_4 b ai_3 b a_1 sh iii_2 d uu_4
1812序曲	y ii_1 b a_1 y ii_1 ər_4 x yu_4 q yu_3
1818黄金眼	y au_1 b a_1 y au_1 b a_1 h u aŋ_2 j in_1 y an_3
1850创意园	y ii_1 b a_1 w uu_3 l iŋ_2 ch u aŋ_1 y ii_4 yu an_2
1853	y au_1 b a_1 w uu_3 s an_1
1853	y ii_1 b a_1 w uu_3 s an_1
1853	y ii_1 q i an_1 b a_1 b ai_3 w uu_3 sh iii_2 s an_1
