!SIL	sil
0	l iŋ_2
不孙	b uu_4 s u ən_1
不孚众望	b uu_4 f uu_2 zh uŋ_4 w aŋ_4
不孝	b uu_2 x i au_4
不孝子	b uu_4 x i au_4 z iii_3
不孝有三	b uu_2 x i au_4 y əu_3 s an_1
不学	b uu_4 x yue_2
不学无术	b uu_4 x yue_2 w uu_2 sh uu_4
不学无识	b uu_4 x yue_2 w uu_2 sh iii_2
不宁	b uu_4 n iŋ_2
不宁唯是	b uu_4 n iŋ_2 w ei_2 sh iii_4
不宁腿综合征	b uu_4 n iŋ_2 t u ei_3 z uŋ_1 h ə_2 zh əŋ_1
不安	b uu_4 an_1
不安于位	b uu_4 an_1 yu_2 w ei_4
不安于室	b uu_4 an_1 yu_2 sh iii_4
不安全	b uu_4 an_1 q yu an_2
不安全感	b uu_4 an_1 q yu an_2 g an_3
不安其室	b uu_4 an_1 q ii_2 sh iii_4
不安分	b uu_4 an_1 f ən_4
不安腿综合征	b uu_4 an_1 t u ei_3 z uŋ_1 h ə_2 zh əŋ_1
不完全归纳推理	b uu_4 w an_2 q yu an_2 g u ei_1 n a_4 t u ei_1 l ii_3
不完全性	b uu_4 w an_2 q yu an_2 x iŋ_4
不完全显性	b uu_4 w an_2 q yu an_2 x i an_3 x iŋ_4
不完全流产	b uu_4 w an_2 q yu an_2 l i əu_2 ch an_3
不完整的旋律	b uu_4 w an_2 zh əŋ_3 d ə_0 x yu an_2 l yu_4
不完美	b uu_4 w an_2 m ei_3
不完美的完美	b uu_4 w an_2 m ei_3 d ə_0 w an_2 m ei_3
不定	b uu_2 d iŋ_4
不定型	b uu_2 d iŋ_4 x iŋ_2
不定式	b uu_2 d iŋ_4 sh iii_4
不定方程	b uu_2 d iŋ_4 f aŋ_1 ch əŋ_2
不定时工作制	b uu_2 d iŋ_4 sh iii_2 g uŋ_1 z uɔ_4 zh iii_4
不定期	b uu_2 d iŋ_4 q ii_1
不定根	b uu_2 d iŋ_4 g ən_1
不定积分	b uu_2 d iŋ_4 j ii_1 f ən_1
不宜	b uu_4 y ii_2
不实	b uu_4 sh iii_2
不客气	b uu_2 k ə_4 q ii_0
不客气	b uu_2 k ə_4 q ii_4
不宣而战	b uu_4 x yu an_1 ər_2 zh an_4
不害	b uu_2 h ai_4
不容	b uu_4 ʒ uŋ_2
不容乐观	b uu_4 ʒ uŋ_2 l ə_4 g u an_1
不容分说	b uu_4 ʒ uŋ_2 f ən_1 sh uɔ_1
不容忽视	b uu_4 ʒ uŋ_2 h uu_1 sh iii_4
不容置喙	b uu_4 ʒ uŋ_2 zh iii_4 h u ei_4
不容置疑	b uu_4 ʒ uŋ_2 zh iii_4 y ii_2
不容置辩	b uu_4 ʒ uŋ_2 zh iii_4 b i an_4
不寂寞	b uu_2 j ii_4 m uɔ_4
不寐	b uu_2 m ei_4
不寒而栗	b uu_4 h an_2 ər_2 l ii_4
不对	b uu_2 d u ei_4
不对头	b uu_2 d u ei_4 t əu_2
不对称	b uu_2 d u ei_4 ch ən_4
不封	b uu_4 f əŋ_1
不射之射	b uu_2 sh ə_4 zh iii_1 sh ə_4
不射精	b uu_2 sh ə_4 j iŋ_1
不射精症	b uu_2 sh ə_4 j iŋ_1 zh əŋ_4
不小	b uu_4 x i au_3
不小心	b uu_2 x i au_3 x in_1
不小心	b uu_4 x i au_3 x in_1
不小心爱上你	b uu_4 x i au_3 x in_1 ai_4 sh aŋ_4 n ii_3
不小心犯的错	b uu_4 x i au_3 x in_1 f an_4 d ə_0 ts uɔ_4
不少	b uu_4 sh au_3
不尔	b uu_4 ər_3
不尴不尬	b uu_4 g an_1 b uu_2 g a_4
不尴不尬	b uu_4 g an_1 b uu_4 g a_4
不尽	b uu_2 j in_4
不尽人意	b uu_2 j in_4 ʒ ən_2 y ii_4
不尽然	b uu_2 j in_4 ʒ an_2
不尽相同	b uu_2 j in_4 x i aŋ_1 t uŋ_2
不屈	b uu_4 q yu_1
不屈不挠	b uu_4 q yu_1 b uu_4 n au_2
不屈不饶	b uu_4 q yu_1 b uu_4 ʒ au_2
不屑	b uu_2 x ie_4
不屑一顾	b uu_2 x ie_4 y ii_2 g uu_4
不屑弟	b uu_2 x ie_4 d ii_4
不屑教诲	b uu_2 x ie_4 j i au_4 h u ei_4
不屑毁誉	b uu_2 x ie_4 h u ei_3 yu_4
不屑置辩	b uu_2 x ie_4 zh iii_4 b i an_4
不属于我	b uu_4 sh uu_3 yu_2 w uɔ_3
不巧	b uu_4 q i au_3
不差上下	b uu_4 ch a_1 sh aŋ_4 x i a_4
不差什么	b uu_4 ch a_1 sh ən_2 m ə_0
不差毫厘	b uu_4 ch a_1 h au_2 l ii_2
不差毫发	b uu_4 ch a_1 h au_2 f a_4
不差累黍	b uu_4 ch a_1 l ei_2 sh uu_3
不差钱	b uu_2 ch a_4 q i an_2
不已	b uu_4 y ii_3
不带走一片云彩	b uu_2 d ai_4 z əu_3 y ii_2 p i an_4 yu n_2 ts ai_3
不常	b uu_4 ch aŋ_2
不干不净	b uu_4 g an_1 b uu_2 j iŋ_4
不干净	b uu_4 g an_1 j iŋ_4
不干胶	b uu_2 g an_4 j i au_1
不平	b uu_4 p iŋ_2
不平凡	b uu_4 p iŋ_2 f an_2
不平则鸣	b uu_4 p iŋ_2 z ə_2 m iŋ_2
不平衡	b uu_4 p iŋ_2 h əŋ_2
不幸	b uu_2 x iŋ_4
不幸而言中	b uu_2 x iŋ_4 ər_2 y an_2 zh uŋ_4
不广	b uu_4 g u aŋ_3
不应	b uu_4 y iŋ_1
不应期	b uu_2 y iŋ_4 q ii_1
不应该	b uu_4 y iŋ_1 g ai_1
不废江河	b uu_2 f ei_4 j i aŋ_1 h ə_2
不廉	b uu_4 l i an_2
不开心与没烦恼	b uu_4 k ai_1 x in_1 yu_3 m uɔ_4 f an_2 n au_3
不异	b uu_2 y ii_4
不弃	b uu_2 q ii_4
不弃不离	b uu_2 q ii_4 b uu_4 l ii_2
不弃草昧	b uu_2 q ii_4 ts au_3 m ei_4
不弱	b uu_2 ʒ uɔ_4
不强	b uu_2 q i aŋ_2
不强	b uu_4 j i aŋ_1
不归之路	b uu_4 g u ei_1 zh iii_1 l uu_4
不归路	b uu_4 g u ei_1 l uu_4
不归零	b uu_4 g u ei_1 l iŋ_2
不当	b uu_2 d aŋ_4
不当不正	b uu_4 d aŋ_1 b uu_2 zh əŋ_4
不当交易	b uu_2 d aŋ_4 j i au_1 y ii_4
不当人子	b uu_4 d aŋ_1 ʒ ən_2 z iii_3
不当大哥好多年	b uu_2 d aŋ_4 d a_4 g ə_1 h au_3 d uɔ_1 n i an_2
不当得利	b uu_2 d aŋ_4 d ə_0 l ii_4
不待	b uu_2 d ai_4
不待蓍龟	b uu_2 d ai_4 sh iii_1 g u ei_1
不徇私情	b uu_4 x yu n_2 s iii_1 q iŋ_2
不徇私情	b uu_4 x yu n_4 s iii_1 q iŋ_2
不徐不疾	b uu_4 x yu_2 b uu_4 j ii_2
不得	b uu_4 d ə_0
不得	b uu_4 d ə_2
不得不	b uu_4 d ə_2 b uu_4
不得不尔	b uu_4 d ə_2 b uu_4 ər_3
不得不爱	b uu_4 d ə_2 b uu_2 ai_4
不得了	b uu_4 d ə_2 l i au_3
不得人心	b uu_4 d ə_2 ʒ ən_2 x in_1
不得其所	b uu_4 d ə_2 q ii_2 s uɔ_3
不得其死	b uu_4 d ə_2 q ii_2 s iii_3
不得其解	b uu_4 d ə_2 q ii_2 j ie_3
不得劲	b uu_4 d ə_2 j in_4
不得命	b uu_0 d ə_0 m iŋ_0
不得善终	b uu_4 d ə_2 sh an_4 zh uŋ_1
不得安宁	b uu_4 d ə_2 an_1 n iŋ_2
不得安身	b uu_4 d ə_2 an_1 sh ən_1
不得已	b uu_4 d ə_2 y ii_3
不得已而为之	b uu_4 d ə_2 y ii_3 ər_2 w ei_2 zh iii_1
不得已而为之	b uu_4 d ə_2 y ii_3 ər_3 w ei_2 zh iii_1
不得已而用之	b uu_4 d ə_2 y ii_3 ər_2 y uŋ_4 zh iii_1
不得开交	b uu_4 d ə_2 k ai_1 j i au_1
不得往生	b uu_4 d ə_2 w aŋ_3 sh əŋ_1
不得志	b uu_4 d ə_2 zh iii_4
不得而知	b uu_4 d ə_2 ər_2 zh iii_1
不得要领	b uu_4 d ə_2 y au_4 l iŋ_3
不得违误	b uu_4 d ə_2 w ei_2 w uu_4
不必	b uu_2 b ii_4
不必勉强	b uu_2 b ii_4 m i an_2 q i aŋ_3
不必在乎我是谁	b uu_2 b ii_4 z ai_4 h uu_0 w uɔ_3 sh iii_4 sh u ei_2
不必知道我是谁	b uu_2 b ii_4 zh iii_1 d au_0 w uɔ_3 sh iii_4 sh u ei_2
不必要	b uu_2 b ii_4 y au_4
不忍	b uu_4 ʒ ən_3
不忍卒读	b uu_4 ʒ ən_3 z uu_2 d uu_2
不忒	b uu_2 t ə_4
不忘	b uu_2 w aŋ_4
不忘	b uu_4 w aŋ_4
不忘初心	b uu_2 w aŋ_4 ch uu_1 x in_1
不忘故旧	b uu_2 w aŋ_4 g uu_4 j i əu_4
不忘沟壑	b uu_2 w aŋ_4 g əu_1 h ə_4
不忙	b uu_4 m aŋ_2
不忙不暴	b uu_4 m aŋ_2 b uu_2 b au_4
不忠	b uu_4 zh uŋ_1
不快	b uu_2 k u ai_4
不快乐	b uu_4 k u ai_4 l ə_4
不忮不求	b uu_2 zh iii_4 b uu_4 q i əu_2
不念旧恶	b uu_2 n i an_4 j i əu_4 ə_4
不忿	b uu_2 f ən_4
不怀好意	b uu_4 h u ai_2 h au_3 y ii_4
不怀好意	b uu_4 h u ai_2 h au_4 y ii_4
不怎么	b uu_4 z ən_3 m ə_0
不怎么样	b uu_4 z ən_3 m ə_0 y aŋ_4
不怕	b uu_2 p a_4
不怕不怕	b uu_2 p a_4 b uu_2 p a_4
不怕寂寞	b uu_2 p a_4 j ii_4 m uɔ_4
不怕死	b uu_2 p a_4 s iii_3
不怕没柴烧	b uu_2 p a_4 m ei_2 ch ai_2 sh au_1
不思进取	b uu_4 s iii_1 j in_4 q yu_3
不急	b uu_4 j ii_2
不急之务	b uu_4 j ii_2 zh iii_1 w uu_4
不怨	b uu_2 yu an_4
不怨天不怨地	b uu_2 yu an_4 t i an_1 b uu_2 yu an_4 d ii_4
不恤	b uu_2 x yu_4
不恤人言	b uu_2 x yu_4 ʒ ən_2 y an_2
不恭	b uu_4 g uŋ_1
不息	b uu_4 x ii_1
不恶而严	b uu_2 ə_4 ər_2 y an_2
不悔	b uu_4 h u ei_3
不患人之不己知	b uu_4 h u an_4 ʒ ən_2 zh iii_1 b uu_4 j ii_3 zh iii_1
不患寡而患不均	b uu_2 h u an_4 g u a_3 ər_2 h u an_4 b uu_4 j yu n_1
不悦	b uu_2 yue_4
不悱不发	b uu_4 f ei_3 b uu_4 f a_1
不悲	b uu_4 b ei_1
不情之请	b uu_4 q iŋ_2 zh iii_1 q iŋ_3
不惑	b uu_2 h uɔ_4
不惑之年	b uu_2 h uɔ_4 zh iii_1 n i an_2
不惑之年	b uu_4 h uɔ_4 zh iii_1 n i an_2
不惜	b uu_4 x ii_1
不惜一切	b uu_4 x ii_1 y ii_2 q ie_4
不惜工本	b uu_4 x ii_1 g uŋ_1 b ən_3
不惜重金	b uu_4 x ii_1 zh uŋ_4 j in_1
不惟	b uu_4 w ei_2
不惧	b uu_2 j yu_4
不惧风暴	b uu_2 j yu_4 f əŋ_1 b au_4
不惮	b uu_2 d an_4
不惯	b uu_2 g u an_4
不想	b uu_4 x i aŋ_3
不想上学	b uu_4 x i aŋ_3 sh aŋ_4 x yue_2
不想你走	b uu_4 x i aŋ_2 n ii_2 z əu_3
不想回家	b uu_4 x i aŋ_3 h u ei_2 j i a_1
不想工作	b uu_4 x i aŋ_3 g uŋ_1 z uɔ_4
不想恋爱	b uu_4 x i aŋ_3 l i an_4 ai_4
不想懂得	b uu_4 x i aŋ_2 d uŋ_3 d ə_0
不想放手	b uu_4 x i aŋ_3 f aŋ_4 sh əu_3
不想活了	b uu_4 x i aŋ_3 h uɔ_2 l ə_0
不想睡	b uu_4 x i aŋ_3 sh u ei_4
不想知道	b uu_4 x i aŋ_3 zh iii_1 d au_4
不想结婚	b uu_4 x i aŋ_3 j ie_2 h u ən_1
不想让你知道	b uu_4 x i aŋ_3 ʒ aŋ_4 n ii_3 zh iii_1 d au_4
不想说	b uu_4 x i aŋ_3 sh uɔ_1
不想起床	b uu_4 x i aŋ_2 q ii_3 ch u aŋ_2
不想长大	b uu_4 x i aŋ_2 zh aŋ_3 d a_4
不愁	b uu_4 ch əu_2
不愆	b uu_4 q i an_1
不愉	b uu_4 yu_2
不意	b uu_2 y ii_4
不愠不火	b uu_2 yu n_4 b uu_4 h uɔ_3
不愤不启	b uu_2 f ən_4 b uu_4 q ii_3
不愧	b uu_2 k u ei_4
不愧下学	b uu_2 k u ei_4 x i a_4 x yue_2
不愧不作	b uu_2 k u ei_4 b uu_2 z uɔ_4
不愧屋漏	b uu_2 k u ei_4 w uu_1 l əu_4
不愿让你一个人	b uu_2 yu an_4 ʒ aŋ_4 n ii_3 y ii_2 g ə_4 ʒ ən_2
不慌不乱	b uu_4 h u aŋ_1 b uu_2 l u an_4
不慌不忙	b uu_4 h u aŋ_1 b uu_4 m aŋ_2
不慎	b uu_2 sh ən_4
不懂	b uu_2 d uŋ_3
不懂	b uu_4 d uŋ_3
不懂事	b uu_4 d uŋ_3 sh iii_4
不懂女人	b uu_4 d uŋ_3 n yu_3 ʒ ən_2
不懂爱	b uu_4 d uŋ_3 ai_4
不懂爱情	b uu_4 d uŋ_3 ai_4 q iŋ_2
不懂珍惜	b uu_4 d uŋ_3 zh ən_1 x ii_1
不懂装懂	b uu_4 d uŋ_3 zh u aŋ_1 d uŋ_3
不懈	b uu_2 x ie_4
不懈努力	b uu_2 x ie_4 n uu_3 l ii_4
不成	b uu_4 ch əŋ_2
不成三瓦	b uu_4 ch əŋ_2 s an_1 w a_3
不成人	b uu_4 ch əŋ_2 ʒ ən_2
不成体统	b uu_4 ch əŋ_2 t ii_2 t uŋ_3
不成体统	b uu_4 ch əŋ_2 t ii_3 t uŋ_3
不成功便成仁	b uu_4 ch əŋ_2 g uŋ_1 b i an_4 ch əŋ_2 ʒ ən_2
不成器	b uu_4 ch əŋ_2 q ii_4
不成才	b uu_4 ch əŋ_2 ts ai_2
不成文法	b uu_4 ch əŋ_2 w ən_2 f a_3
不成方圆	b uu_4 ch əŋ_2 f aŋ_1 yu an_2
不成熟	b uu_4 ch əŋ_2 sh uu_2
不成话	b uu_4 ch əŋ_2 h u a_4
不成问题	b uu_4 ch əŋ_2 w ən_4 t ii_2
不戒和尚	b uu_2 j ie_4 h ə_2 sh aŋ_0
不战而胜	b uu_2 zh an_4 ər_2 sh əŋ_4
不战自败	b uu_2 zh an_4 z iii_4 b ai_4
不才	b uu_4 ts ai_2
不打不相识	b uu_4 d a_3 b uu_4 x i aŋ_1 sh iii_2
不打扰	b uu_4 d a_2 ʒ au_3
不打紧	b uu_4 d a_2 j in_3
不打自招	b uu_4 d a_3 z iii_4 zh au_1
不托	b uu_4 t uɔ_1
不扣钮的女孩	b uu_2 k əu_4 n i əu_3 d ə_0 n yu_3 h ai_2
不扬	b uu_4 y aŋ_2
不折不扣	b uu_4 zh ə_2 b uu_2 k əu_4
不折不挠	b uu_4 zh ə_2 b uu_4 n au_2
不折腾	b uu_4 zh ə_1 t əŋ_0
不抛弃不放弃	b uu_4 p au_1 q ii_4 b uu_2 f aŋ_4 q ii_4
不护细行	b uu_2 h uu_4 x ii_4 x iŋ_2
不报	b uu_2 b au_4
不抱怨的世界	b uu_2 b au_4 yu an_4 d ə_0 sh iii_4 j ie_4
不拔	b uu_4 b a_2
不拔一毛	b uu_4 b a_2 y ii_4 m au_2
不拔之志	b uu_4 b a_2 zh iii_1 zh iii_4
不拘	b uu_4 j yu_1
不拘一格	b uu_4 j yu_1 y ii_4 g ə_2
不拘于时	b uu_0 j yu_0 yu_0 sh iii_0
不拘小节	b uu_4 j yu_1 x i au_3 j ie_2
不拘形迹	b uu_4 j yu_1 x iŋ_2 j ii_4
不拘细节	b uu_4 j yu_1 x ii_4 j ie_2
不拘细行	b uu_4 j yu_1 x ii_4 x iŋ_2
不拜	b uu_2 b ai_4
不择	b uu_4 z ə_2
不择手段	b uu_4 z ə_2 sh əu_3 d u an_4
不择生冷	b uu_4 z ə_2 sh əŋ_1 l əŋ_3
不按君臣	b uu_2 an_4 j yu n_1 ch ən_2
不按套路出牌	b uu_2 an_4 t au_4 l uu_4 ch uu_1 p ai_2
不挑之祖	b uu_4 t i au_1 zh iii_1 z uu_3
不挠不屈	b uu_4 n au_2 b uu_4 q yu_1
不挠不折	b uu_4 n au_2 b uu_4 zh ə_2
不振	b uu_2 zh ən_4
不换金正气散	b uu_4 h u an_4 j in_1 zh əŋ_4 q ii_4 s an_3
不掉	b uu_2 d i au_4
不排卵	b uu_4 p ai_2 l u an_3
不提	b uu_4 t ii_2
不插电	b uu_4 ch a_1 d i an_4
不揣冒昧	b uu_4 ch u ai_3 m au_4 m ei_4
不揪不睬	b uu_4 ch əu_3 b uu_4 ts ai_3
不揪不采	b uu_4 j i əu_1 b uu_4 ts ai_3
不撞南墙不回头	b uu_2 zh u aŋ_4 n an_2 q i aŋ_2 b uu_4 h u ei_2 t əu_2
不擒二毛	b uu_4 q in_2 ər_4 m au_2
不支	b uu_4 zh iii_1
不改其乐	b uu_4 g ai_3 q ii_2 l ə_4
不攻自破	b uu_4 g uŋ_1 z iii_4 p uɔ_4
不放	b uu_2 f aŋ_4
不放	b uu_4 f aŋ_4
不放弃	b uu_2 f aŋ_4 q ii_4
不放弃不抛弃	b uu_2 f aŋ_4 q ii_4 b uu_4 p au_1 q ii_4
不效	b uu_2 x i au_4
不敌	b uu_2 d ii_2
不敌	b uu_4 d ii_2
不敏	b uu_4 m in_3
不教之教	b uu_2 j i au_4 zh iii_1 j i au_4
不教而杀	b uu_2 j i au_4 ər_2 sh a_1
不教而诛	b uu_2 j i au_4 ər_2 zh uu_1
不教胡马度阴山	b uu_2 j i au_4 h uu_2 m a_3 d uu_4 y in_1 sh an_1
不敢	b uu_4 g an_3
不敢后人	b uu_4 g an_3 h əu_4 ʒ ən_2
不敢告劳	b uu_4 g an_3 g au_4 l au_2
不敢当	b uu_4 g an_3 d aŋ_1
不敢恭维	b uu_4 g an_3 g uŋ_1 w ei_2
不敢掠美	b uu_4 g an_3 l yue_4 m ei_3
不敢旁骛	b uu_4 g an_3 p aŋ_2 w uu_4
不敢爱	b uu_4 g an_3 ai_4
不敢自专	b uu_4 g an_3 z iii_4 zh u an_1
不敢苟同	b uu_4 g an_2 g əu_3 t uŋ_2
不敢苟同	b uu_4 g an_3 g əu_3 t uŋ_2
不敢越雷池一步	b uu_4 g an_3 yue_4 l ei_2 ch iii_2 y ii_2 b uu_4
不敢造次	b uu_4 g an_3 z au_4 ts iii_4
不敢问津	b uu_4 g an_3 w ən_4 j in_1
不敢高攀	b uu_4 g an_3 g au_1 p an_1
不散	b uu_2 s an_4
不敬	b uu_2 j iŋ_4
不整合	b uu_4 zh əŋ_3 h ə_2
不文不武	b uu_4 w ən_2 b uu_4 w uu_3
不文骚	b uu_4 w ən_2 s au_1
不料	b uu_2 l i au_4
不断	b uu_2 d u an_4
不断如带	b uu_2 d u an_4 ʒ uu_2 d ai_4
不旋踵	b uu_4 x yu an_2 zh uŋ_3
不无	b uu_4 w uu_2
不无关系	b uu_4 w uu_2 g u an_1 x ii_4
不无小补	b uu_4 w uu_2 x i au_2 b uu_3
不无聊	b uu_4 w uu_2 l i au_2
不无裨益	b uu_4 w uu_2 b ii_4 y ii_4
不日	b uu_2 ʒ iii_4
不日不月	b uu_2 ʒ iii_4 b uu_2 yue_4
不时	b uu_4 sh iii_2
不时之需	b uu_4 sh iii_2 zh iii_1 x yu_1
不明	b uu_4 m iŋ_2
不明不白	b uu_4 m iŋ_2 b uu_4 b ai_2
不明事理	b uu_4 m iŋ_2 sh iii_4 l ii_3
不明原因发热	b uu_4 m iŋ_2 yu an_2 y in_1 f a_1 ʒ ə_4
不明就里	b uu_4 m iŋ_2 j i əu_4 l ii_3
不明影像	b uu_4 m iŋ_2 y iŋ_3 x i aŋ_4
不明所以	b uu_4 m iŋ_2 s uɔ_2 y ii_3
不明生物	b uu_4 m iŋ_2 sh əŋ_1 w uu_4
不明白	b uu_4 m iŋ_2 b ai_2
不明真相	b uu_4 m iŋ_2 zh ən_1 x i aŋ_4
不明身份	b uu_4 m iŋ_2 sh ən_1 f ən_4
不明飞行物	b uu_4 m iŋ_2 f ei_1 x iŋ_2 w uu_4
不易	b uu_2 y ii_4
不易一字	b uu_2 y ii_4 y ii_2 z iii_4
不易之典	b uu_2 y ii_4 zh iii_1 d i an_3
不易之论	b uu_2 y ii_4 zh iii_1 l u ən_4
不昧因果	b uu_2 m ei_4 y in_1 g uɔ_3
不是	b uu_2 sh iii_4
不是不想	b uu_2 sh iii_4 b uu_4 x i aŋ_3
不是人	b uu_2 sh iii_4 ʒ ən_2
不是人间富贵花	b uu_2 sh iii_4 ʒ ən_2 j i an_1 f uu_4 g u ei_4 h u a_1
不是冤家不聚头	b uu_2 sh iii_4 yu an_1 j i a_1 b uu_2 j yu_4 t əu_2
不是因为你美丽我才爱上你	b uu_2 sh iii_4 y in_1 w ei_4 n ii_2 m ei_3 l ii_4 w uɔ_3 ts ai_2 ai_4 sh aŋ_4 n ii_3
不是因为寂寞	b uu_2 sh iii_4 y in_1 w ei_4 j ii_4 m uɔ_4
不是因为寂寞才想你	b uu_2 sh iii_4 y in_1 w ei_4 j ii_4 m uɔ_4 ts ai_2 x i aŋ_2 n ii_3
不是处	b uu_2 sh iii_4 ch uu_4
不是天使	b uu_2 sh iii_4 t i an_1 sh iii_3
不是头	b uu_2 sh iii_4 t əu_2
不是我	b uu_2 sh iii_4 w uɔ_3
不是我不小心	b uu_2 sh iii_4 w uɔ_3 b uu_4 x i au_3 x in_1
不是我不明白	b uu_2 sh iii_4 w uɔ_3 b uu_4 m iŋ_2 b ai_2
不是我不爱你	b uu_2 sh iii_4 w uɔ_3 b uu_2 ai_4 n ii_3
不是我的	b uu_2 sh iii_4 w uɔ_3 d ə_0
不是故意	b uu_2 sh iii_4 g uu_4 y ii_4
不是每个恋曲都有美好回忆	b uu_2 sh iii_4 m ei_3 g ə_4 l i an_4 q yu_3 d əu_1 y əu_3 m ei_2 h au_3 h u ei_2 y ii_4
不是爱风尘	b uu_2 sh iii_4 ai_4 f əŋ_1 ch ən_2
不是省油的灯	b uu_2 sh iii_4 sh əŋ_3 y əu_2 d ə_0 d əŋ_1
不是真的爱我	b uu_2 sh iii_4 zh ən_1 d ə_0 ai_4 w uɔ_3
不是秘密的秘密	b uu_2 sh iii_4 m ii_4 m ii_4 d ə_0 m ii_4 m ii_4
不是花中偏爱菊	b uu_2 sh iii_4 h u a_1 zh uŋ_1 p i an_1 ai_4 j yu_2
不是闹着玩的	b uu_2 sh iii_4 n au_4 zh ə_0 w an_2 d ə_0
不显	b uu_4 x i an_3
不晓世务	b uu_4 x i au_3 sh iii_4 w uu_4
不晚	b uu_4 w an_3
不景气	b uu_4 j iŋ_3 q ii_0
不景气	b uu_4 j iŋ_3 q ii_4
不智	b uu_2 zh iii_4
不暇	b uu_4 x i a_2
不更	b uu_4 g əŋ_1
不更事	b uu_4 g əŋ_1 sh iii_4
不曾	b uu_4 ts əŋ_2
不曾逝去的岁月	b uu_4 ts əŋ_2 sh iii_4 q yu_4 d ə_0 s u ei_4 yue_4
不服	b uu_4 f uu_2
不服来战	b uu_4 f uu_2 l ai_2 zh an_4
不服气	b uu_4 f uu_2 q ii_4
不服水土	b uu_4 f uu_2 sh u ei_2 t uu_3
不期	b uu_4 q ii_1
不期修古	b uu_4 q ii_1 x i əu_1 g uu_3
不期而会	b uu_4 q ii_1 ər_2 h u ei_4
不期而同	b uu_4 q ii_1 ər_2 t uŋ_2
不期而然	b uu_4 q ii_1 ər_2 ʒ an_2
不期而至	b uu_4 q ii_1 ər_2 zh iii_4
不期而遇	b uu_4 q ii_1 ər_2 yu_4
不朽	b uu_4 x i əu_3
不朽不灭	b uu_4 x i əu_3 b uu_2 m ie_4
不朽尸王	b uu_4 x i əu_3 sh iii_1 w aŋ_2
不朽的名曲2	b uu_4 x i əu_3 d ə_0 m iŋ_2 q yu_3 ər_4
不朽者	b uu_4 x i əu_2 zh ə_3
不杀	b uu_4 sh a_1
不材	b uu_4 ts ai_2
不来	b uu_4 l ai_2
不来梅	b uu_4 l ai_2 m ei_2
不枉	b uu_2 w aŋ_3
不枉	b uu_4 w aŋ_3
不枉此生	b uu_4 w aŋ_2 ts iii_3 sh əŋ_1
不果	b uu_4 g uɔ_3
不染一尘	b uu_4 ʒ an_3 y ii_4 ch ən_2
不栉进士	b uu_2 zh iii_4 j in_4 sh iii_4
不根之论	b uu_4 g ən_1 zh iii_1 l u ən_4
不根之谈	b uu_4 g an_1 zh iii_1 t an_2
不根之谈	b uu_4 g ən_1 zh iii_1 t an_2
不检	b uu_4 j i an_3
不检点	b uu_4 j i an_2 d i an_3
不次	b uu_2 ts iii_4
不次之位	b uu_2 ts iii_4 zh iii_1 w ei_4
不次之迁	b uu_2 ts iii_4 zh iii_1 q i an_1
不欢而散	b uu_4 h u an_1 ər_2 s an_4
不欺屋漏	b uu_4 q ii_1 w uu_1 l əu_4
不欺暗室	b uu_4 q ii_1 an_4 sh iii_4
不止	b uu_4 zh iii_3
不止一次	b uu_4 zh iii_3 y ii_2 ts iii_4
不正	b uu_2 zh əŋ_4
不正之风	b uu_2 zh əŋ_4 zh iii_1 f əŋ_1
不正常	b uu_2 zh əŋ_4 ch aŋ_2
不正经	b uu_2 zh əŋ_4 j iŋ_1
不步人脚	b uu_2 b uu_4 ʒ ən_2 j i au_3
不武	b uu_4 w uu_3
不死	b uu_4 s iii_3
不死不活	b uu_4 s iii_3 b uu_4 h uɔ_2
不死不灭	b uu_4 s iii_3 b uu_2 m ie_4
不死之身	b uu_4 s iii_3 zh iii_1 sh ən_1
不死人	b uu_4 s iii_3 ʒ ən_2
不死传奇	b uu_4 s iii_3 ch u an_2 q ii_2
不死传说	b uu_4 s iii_3 ch u an_2 sh uɔ_1
不死冥王	b uu_4 s iii_3 m iŋ_2 w aŋ_2
不死冥神	b uu_4 s iii_3 m iŋ_2 sh ən_2
不死劫	b uu_4 s iii_3 j ie_2
不死印法	b uu_4 s iii_3 y in_4 f a_3
不死小强	b uu_4 s iii_3 x i au_3 q i aŋ_2
不死心	b uu_4 s iii_3 x in_1
不死情谜	b uu_4 s iii_3 q iŋ_2 m ii_2
不死情迷	b uu_4 s iii_3 q iŋ_2 m ii_2
不死族	b uu_4 s iii_3 z uu_2
不死树	b uu_4 s iii_3 sh uu_4
不死潜龙	b uu_4 s iii_3 q i an_2 l uŋ_2
不死生物	b uu_4 s iii_3 sh əŋ_1 w uu_4
不死草	b uu_4 s iii_2 ts au_3
不死药	b uu_4 s iii_3 y au_4
不死鸟	b uu_4 s iii_2 n i au_3
不毛	b uu_4 m au_2
不毛之地	b uu_4 m au_2 zh iii_1 d ii_4
不毛地带	b uu_4 m au_2 d ii_4 d ai_4
不求	b uu_4 q i əu_2
不求人	b uu_4 q i əu_2 ʒ ən_2
不求回报	b uu_4 q i əu_2 h u ei_2 b au_4
不求甚解	b uu_4 q i əu_2 sh ən_4 j ie_3
不求闻达	b uu_4 q i əu_2 w ən_2 d a_2
不汗党	b uu_2 h an_4 d aŋ_3
不治	b uu_2 zh iii_4
不治之症	b uu_2 zh iii_4 zh iii_1 zh əŋ_4
不治而愈	b uu_2 zh iii_4 ər_2 yu_4
